result,1,2,3,4,5,6,7,8,9
-1,163,27,244,91,153,195,180,253,58
1,55,252,230,8,15,212,135,178,168
1,226,77,228,56,220,13,19,177,56
1,251,80,191,251,141,251,62,128,166
1,168,79,211,175,135,28,172,30,114
1,246,214,149,129,114,242,14,98,18
1,28,237,47,31,175,232,38,101,161
-1,29,99,83,212,220,27,248,220,133
1,89,229,147,35,203,238,120,116,189
1,158,46,222,179,99,200,35,89,25
1,71,152,220,190,15,12,216,117,47
1,126,177,216,144,103,161,88,175,69
1,175,124,254,239,13,151,223,223,1
1,227,209,4,61,25,161,222,115,28
-1,49,7,248,34,179,11,180,174,125
-1,146,82,63,243,252,53,96,194,43
1,25,211,160,107,94,157,19,133,166
-1,79,91,27,162,32,30,32,46,146
-1,29,237,19,159,216,143,147,67,145
-1,82,11,91,91,197,69,175,97,48
1,200,240,80,172,175,251,65,22,163
-1,47,219,209,26,149,217,213,142,209
1,104,44,168,30,239,120,174,25,85
-1,35,139,3,239,198,169,136,10,82
1,129,48,237,81,246,58,27,57,104
-1,53,85,91,138,194,255,174,47,79
1,49,209,178,140,158,62,78,71,184
1,96,198,21,237,73,137,37,194,50
-1,55,19,25,158,229,99,174,126,246
-1,71,25,195,72,198,107,119,80,204
1,210,134,155,101,149,30,220,89,179
-1,45,155,24,120,222,67,19,142,118
-1,228,162,72,153,36,30,235,208,74
-1,67,129,135,208,89,138,96,223,221
-1,72,173,123,214,234,119,174,189,190
1,120,17,251,80,180,115,131,76,47
-1,138,231,11,224,80,198,228,132,238
-1,13,32,180,71,126,132,139,239,34
1,86,179,109,56,239,23,83,107,178
-1,156,10,53,53,34,245,103,69,69
-1,221,123,6,133,1,123,213,74,135
1,232,125,225,80,150,9,222,176,7
1,44,209,239,54,3,193,109,48,84
1,134,210,219,135,4,46,124,158,223
1,95,149,141,4,160,132,156,174,15
1,232,48,68,28,10,205,102,117,30
-1,116,26,83,49,82,228,9,102,252
-1,35,71,113,14,13,195,43,157,45
1,199,242,18,54,173,201,187,176,18
-1,81,66,52,248,123,168,251,136,121
1,91,53,189,192,200,145,34,106,119
-1,97,179,235,73,188,90,192,148,195
-1,161,141,36,190,70,69,162,222,186
-1,80,189,138,251,206,58,143,213,120
1,55,1,216,13,30,30,154,19,54
-1,130,81,11,200,173,59,17,189,214
